node_id,lat,lon,street_count,highway
49429325,-23.8972192,29.4497806,3,none
49429330,-23.8980088,29.4490081,3,none
49429338,-23.9113729,29.4531233,4,traffic_signals
49429346,-23.9093696,29.4516394,4,traffic_signals
49429356,-23.9114624,29.4448205,3,none
49429373,-23.9149804,29.4440256,3,none
49429380,-23.9124923,29.4474149,3,none
249136820,-23.9091784,29.4525956,4,traffic_signals
249136833,-23.911574,29.4521805,3,none
302562956,-23.9027637,29.4849531,4,traffic_signals
302562961,-23.9013365,29.4846319,3,none
302562966,-23.9001974,29.484601,3,none
302562972,-23.9001558,29.4799943,3,none
302562984,-23.8997119,29.4794387,4,traffic_signals
302562988,-23.9022475,29.4848163,3,none
302563021,-23.9020722,29.4847646,4,none
302563030,-23.9023713,29.4838352,3,none
302563103,-23.9032958,29.4805884,3,none
302563115,-23.9009733,29.4812716,3,none
302563119,-23.9030739,29.48166,3,none
302563132,-23.9002306,29.4813032,3,none
302563178,-23.9028618,29.4827127,3,none
302563204,-23.9002109,29.4823828,4,none
302563223,-23.9001938,29.4834879,3,none
302563232,-23.8991835,29.4823869,3,none
302586683,-23.9001521,29.4875447,3,none
302586708,-23.9001325,29.4893016,3,none
302586710,-23.9010508,29.4875582,3,none
302586715,-23.9001509,29.4870606,3,none
302586717,-23.8963925,29.4856096,3,none
302586729,-23.8942859,29.4865337,3,none
302586732,-23.9001472,29.4881965,3,none
302586738,-23.8949718,29.4857133,3,none
302586741,-23.8975404,29.4867253,3,none
302586744,-23.8961784,29.4883656,4,none
302587963,-23.8948061,29.4900566,3,none
302816089,-23.9002615,29.4984771,4,traffic_signals
302816100,-23.9161383,29.4758114,4,traffic_signals
302816101,-23.9207767,29.452334,4,traffic_signals
302817673,-23.903518,29.4851227,3,none
302817829,-23.9039848,29.4916391,3,none
304522127,-23.9198337,29.457094,3,none
304522155,-23.8928358,29.4718808,4,traffic_signals
304522197,-23.888697,29.4792527,3,none
304522276,-23.8779184,29.4934825,3,stop
304522277,-23.879035,29.4920153,3,none
304522315,-23.8909538,29.4763127,3,none
304522317,-23.8948067,29.4666977,4,traffic_signals
304522327,-23.8759077,29.4783967,3,none
304522333,-23.8801775,29.4713063,3,none
304522338,-23.8802977,29.4711735,3,none
304522406,-23.8812981,29.4702552,4,stop
304522438,-23.8900546,29.461273,3,none
304522510,-23.8902118,29.4541874,3,none
304522511,-23.8901491,29.4540668,4,none
304522512,-23.8900396,29.4538506,3,traffic_signals
304572771,-23.8777163,29.4350748,3,none
304573022,-23.905876,29.4420645,4,traffic_signals
304573028,-23.906277,29.44198,3,none
304573034,-23.9152469,29.4438157,3,none
304573117,-23.9040493,29.4786711,4,traffic_signals
304573129,-23.9000259,29.4790714,3,none
304573140,-23.8960005,29.484007,3,traffic_signals
304573141,-23.8893128,29.4921113,4,traffic_signals
304573144,-23.8830235,29.4997374,4,traffic_signals
304573172,-23.9016955,29.4786962,3,traffic_signals
304573174,-23.9028519,29.4727363,4,traffic_signals
304573175,-23.9018064,29.4780455,3,none
304573181,-23.8999991,29.4797445,3,none
304573494,-23.9211006,29.4524066,3,none
304573495,-23.9097485,29.4497625,4,traffic_signals
304595237,-23.9285598,29.4667942,3,none
304595238,-23.9017056,29.4724573,4,none
304595240,-23.8837895,29.4575285,3,traffic_signals
304595241,-23.8955801,29.4627495,3,none
304595243,-23.8969449,29.462755,3,none
304595248,-23.8970843,29.4553408,3,stop
304595252,-23.8984533,29.4473447,3,none
304595286,-23.9198801,29.4624244,3,none
304595340,-23.8912001,29.4556583,3,none
304595360,-23.8917266,29.455782,3,none
304595362,-23.8913601,29.4624169,3,none
304622510,-23.8923408,29.4905679,3,none
304622514,-23.8929575,29.4876529,4,none
304622521,-23.8937362,29.4894499,4,none
304622524,-23.8935597,29.491379,3,none
304622545,-23.8979046,29.4821508,3,none
304622554,-23.8956534,29.4848813,3,none
304622555,-23.8915943,29.4898404,3,none
304735273,-23.9176867,29.4945534,3,stop
304735278,-23.912358,29.4935764,3,none
304735317,-23.9048915,29.4885788,3,none
304735325,-23.9175023,29.4689371,4,none
304735326,-23.9086831,29.4668743,4,traffic_signals
304735327,-23.9064529,29.4663566,4,traffic_signals
304735328,-23.8954129,29.4637399,4,stop
304735331,-23.8931752,29.4632132,4,stop
304735340,-23.9194855,29.4587888,3,none
304735341,-23.9106483,29.456694,4,traffic_signals
304735342,-23.9084563,29.4562132,4,traffic_signals
304735343,-23.8974105,29.4536081,4,traffic_signals
304735364,-23.8923124,29.4559197,3,none
304735381,-23.9205799,29.4532996,3,none
304735382,-23.9171745,29.4524785,1,none
304735383,-23.8995984,29.4541235,3,none
304735384,-23.8999387,29.4524145,3,none
304735385,-23.900355,29.4505389,4,traffic_signals
304735393,-23.8965524,29.4497363,3,none
304735430,-23.900881,29.4477421,4,traffic_signals
305158512,-23.8778475,29.4415118,4,traffic_signals
305158518,-23.8823956,29.4428149,4,traffic_signals
305158519,-23.88087,29.4424178,4,traffic_signals
305158520,-23.8768805,29.4582423,4,none
305158522,-23.8826678,29.435306,3,none
305158524,-23.8830909,29.44013,3,none
305158553,-23.8845379,29.4358586,4,none
305158643,-23.8784506,29.4391515,3,none
305158644,-23.8814749,29.4400372,4,none
