step,direction
12,Take Kommandant Lombaard Street [residential | 147 m | speed limit 45 km/h]
13,Continue on Kommandant Lombaard Street [residential | 137 m | speed limit 45 km/h]
14,Continue on Kommandant Lombaard Street [residential | 123 m | speed limit 45 km/h]
15,Continue on Kommandant Lombaard Street [residential | 162 m | speed limit 45 km/h]
16,Take Potgieter Avenue [tertiary | 27 m | speed limit 60 km/h]
17,Continue on Potgieter Avenue [tertiary | 145 m | speed limit 60 km/h]
18,Continue on Potgieter Avenue [tertiary | 138 m | speed limit 60 km/h]
19,Continue on Potgieter Avenue [tertiary | 141 m | speed limit 60 km/h]
20,Continue on Potgieter Avenue [tertiary | 113 m | speed limit 60 km/h]
21,Continue on Potgieter Avenue [tertiary | 78 m | speed limit 60 km/h]
22,Continue on Potgieter Avenue [tertiary | 134 m | speed limit 60 km/h]
23,Continue on Potgieter Avenue [tertiary | 92 m | speed limit 60 km/h]
24,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
25,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
26,Continue on Potgieter Avenue [tertiary | 44 m | speed limit 60 km/h]
27,Continue on Potgieter Avenue [tertiary | 90 m | speed limit 60 km/h]
28,Continue on Potgieter Avenue [tertiary | 131 m | speed limit 60 km/h]
29,Take Webster Street [tertiary | 125 m | speed limit 60 km/h]
30,Continue on Webster Street [tertiary | 127 m | speed limit 60 km/h]
31,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
32,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
33,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
34,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
35,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
36,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
37,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
38,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
39,Take Marshall Street [tertiary | 241 m | speed limit 60 km/h]
40,Continue on Marshall Street [tertiary | 134 m | speed limit 60 km/h]
41,Continue on Marshall Street [tertiary | 66 m | speed limit 60 km/h]
42,Continue on Marshall Street [tertiary | 235 m | speed limit 60 km/h]
43,Take Kiepersol Avenue [residential | 102 m | speed limit 45 km/h]
44,Take Erasmus Street [residential | 115 m | speed limit 45 km/h]
45,Continue on Erasmus Street [residential | 107 m | speed limit 45 km/h]
46,Continue on Erasmus Street [residential | 94 m | speed limit 45 km/h]
47,Take Kigelia Street [residential | 437 m | speed limit 45 km/h]
--,--
1,Take Diemeer Street [tertiary | 60 m | speed limit 60 km/h]
2,Continue on Diemeer Street [tertiary | 111 m | speed limit 60 km/h]
3,Continue on Diemeer Street [tertiary | 144 m | speed limit 30 km/h]
4,Continue on Diemeer Street [tertiary | 85 m | speed limit 60 km/h]
5,Continue on Diemeer Street [tertiary | 123 m | speed limit 60 km/h]
6,Continue on Diemeer Street [tertiary | 126 m | speed limit 60 km/h]
7,Continue on Diemeer Street [tertiary | 127 m | speed limit 60 km/h]
8,Continue on Diemeer Street [tertiary | 125 m | speed limit 60 km/h]
9,Take Potgieter Avenue [tertiary | 345 m | speed limit 60 km/h]
10,Continue on Potgieter Avenue [tertiary | 109 m | speed limit 60 km/h]
11,Continue on Potgieter Avenue [tertiary | 27 m | speed limit 60 km/h]
12,Continue on Potgieter Avenue [tertiary | 145 m | speed limit 60 km/h]
13,Continue on Potgieter Avenue [tertiary | 138 m | speed limit 60 km/h]
14,Continue on Potgieter Avenue [tertiary | 141 m | speed limit 60 km/h]
15,Continue on Potgieter Avenue [tertiary | 113 m | speed limit 60 km/h]
16,Continue on Potgieter Avenue [tertiary | 78 m | speed limit 60 km/h]
17,Continue on Potgieter Avenue [tertiary | 134 m | speed limit 60 km/h]
18,Continue on Potgieter Avenue [tertiary | 92 m | speed limit 60 km/h]
19,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
20,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
21,Continue on Potgieter Avenue [tertiary | 44 m | speed limit 60 km/h]
22,Continue on Potgieter Avenue [tertiary | 90 m | speed limit 60 km/h]
23,Continue on Potgieter Avenue [tertiary | 131 m | speed limit 60 km/h]
24,Take Webster Street [tertiary | 125 m | speed limit 60 km/h]
25,Continue on Webster Street [tertiary | 127 m | speed limit 60 km/h]
26,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
27,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
28,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
29,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
30,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
31,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
32,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
33,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
34,Take Marshall Street [tertiary | 241 m | speed limit 60 km/h]
35,Continue on Marshall Street [tertiary | 134 m | speed limit 60 km/h]
36,Continue on Marshall Street [tertiary | 66 m | speed limit 60 km/h]
37,Continue on Marshall Street [tertiary | 235 m | speed limit 60 km/h]
38,Take Kiepersol Avenue [residential | 102 m | speed limit 45 km/h]
39,Take Erasmus Street [residential | 115 m | speed limit 45 km/h]
40,Continue on Erasmus Street [residential | 107 m | speed limit 45 km/h]
41,Take Palm Street [residential | 512 m | speed limit 60 km/h]
42,Take Acacia Avenue [residential | 92 m | speed limit 45 km/h]
--,--
1,Take Potgieter Avenue [tertiary | 27 m | speed limit 60 km/h]
2,Continue on Potgieter Avenue [tertiary | 145 m | speed limit 60 km/h]
3,Continue on Potgieter Avenue [tertiary | 138 m | speed limit 60 km/h]
4,Continue on Potgieter Avenue [tertiary | 141 m | speed limit 60 km/h]
5,Continue on Potgieter Avenue [tertiary | 113 m | speed limit 60 km/h]
6,Continue on Potgieter Avenue [tertiary | 78 m | speed limit 60 km/h]
7,Continue on Potgieter Avenue [tertiary | 134 m | speed limit 60 km/h]
8,Continue on Potgieter Avenue [tertiary | 92 m | speed limit 60 km/h]
9,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
10,Continue on Potgieter Avenue [tertiary | 137 m | speed limit 60 km/h]
11,Continue on Potgieter Avenue [tertiary | 44 m | speed limit 60 km/h]
12,Continue on Potgieter Avenue [tertiary | 90 m | speed limit 60 km/h]
13,Continue on Potgieter Avenue [tertiary | 131 m | speed limit 60 km/h]
14,Take Webster Street [tertiary | 125 m | speed limit 60 km/h]
15,Continue on Webster Street [tertiary | 127 m | speed limit 60 km/h]
16,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
17,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
